"Report date","Week #","Week ","HI","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33705.0","14.0","33698.0","1621.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","1181.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","1303.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","1530.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","1601.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","1431.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","1448.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","1246.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","1523.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","1520.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","1957.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","1421.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","1338.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","1903.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","1379.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","1269.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","1452.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","1564.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","1273.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","1207.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","1351.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","1663.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","1098.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","1694.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","4693.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","3346.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","2056.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","1700.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","1581.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","1302.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","1506.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","1254.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","1486.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","1192.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","1850.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","1319.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","1369.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","1291.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","1504.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","2667.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","2061.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","1372.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","1531.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","1711.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","1573.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","1978.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","1564.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","1738.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","1605.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","1570.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","1205.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","1777.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","1778.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","1441.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","1455.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","1524.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","1584.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","1349.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","1456.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","1275.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","1403.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","1269.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","1788.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","1360.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","1490.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","1537.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","1500.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","1372.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","1341.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","1711.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","1302.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","1099.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","1302.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","1246.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","1169.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","1388.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","1176.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","1227.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","1965.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","1330.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","1418.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","1410.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","2241.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","1313.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","1494.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","1210.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","1742.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","1734.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","1617.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","1396.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","1626.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","2525.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","1770.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","1701.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","2067.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","1825.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","1792.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","2155.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","1935.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","1771.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","1525.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","1576.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","1524.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","1931.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","2192.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","1555.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","4054.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","3826.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","2565.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","3071.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","3857.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","3319.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","2147.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","1833.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","2372.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","1770.0","","","","","","","","","","","",""
"34517.0","26.0","34510.0","1741.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","2225.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","2011.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","1531.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","1574.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","1693.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","1587.0","","","","","","","","","","","",""
