"Report date","Week #","Week ","AZ","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33901.0","42.0","33894.0","2401.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","2486.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","2407.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","2634.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","2480.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","2595.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","2675.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","2470.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","1970.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","2385.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","4314.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","3776.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","2795.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","2607.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","2739.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","2681.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","2553.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","2983.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","2757.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","2277.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","2221.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","2679.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","2731.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","3730.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","2562.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","2803.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","2501.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","2389.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","2242.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","2881.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","2738.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","2879.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","2688.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","3530.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","2712.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","2912.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","3369.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","4547.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","3705.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","2674.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","2340.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","3079.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","2813.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","2844.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","2421.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","2352.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","2459.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","3519.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","2772.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","2291.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","3974.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","2810.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","3213.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","2397.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","2833.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","3098.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","3430.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","2193.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","2630.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","3025.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","2921.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","2784.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","1913.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","4385.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","3613.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","3021.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","2592.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","2829.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","3283.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","3037.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","2134.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","2437.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","3200.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","2808.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","2783.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","3478.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","5410.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","4401.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","3443.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","3473.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","4489.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","3231.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","3187.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","3424.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","3556.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","3590.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","3475.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","3288.0","","","","","","","","","","","",""
"34517.0","26.0","34510.0","3105.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","4884.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","4028.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","3219.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","3162.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","2970.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","2897.0","","","","","","","","","","","",""
"34566.0","33.0","34559.0","2865.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","2742.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","2822.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","2489.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","2759.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","2698.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","2462.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","3445.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","2545.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","2875.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","2689.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","3026.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","2596.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","3388.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","2400.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","3048.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","2960.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","2572.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","2685.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","2688.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","4013.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","3696.0","","","","","","","","","","","",""
"34720.0","2.0","34713.0","2953.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","3174.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","3113.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","3084.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","3148.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","2580.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","3337.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","3105.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","2679.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","3093.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","3408.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","4945.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","3400.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","3627.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","3335.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","3881.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","3046.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","3042.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","3293.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","3556.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","3601.0","","","","","","","","","","","",""
