"Report date","Week #","Week ","TN","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"34083.0","16.0","34076.0","6153.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","4906.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","4793.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","4577.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","4742.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","4799.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","5217.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","7158.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","5038.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","5313.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","5430.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","11499.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","21748.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","14749.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","6479.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","7920.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","6101.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","5246.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","4359.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","5711.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","4311.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","7137.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","4615.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","5064.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","8128.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","5547.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","4591.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","5509.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","8131.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","5750.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","6579.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","5627.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","10551.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","7488.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","7071.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","8133.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","15555.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","34896.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","26211.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","10463.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","19709.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","13473.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","8186.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","6932.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","6047.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","7224.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","5385.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","5408.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","4617.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","3603.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","8162.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","7496.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","5059.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","5266.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","5511.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","4867.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","4515.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","4905.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","4725.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","5510.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","5288.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","5102.0","","","","","","","","","","","",""
"34517.0","26.0","34510.0","4678.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","8744.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","21483.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","15643.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","7322.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","6966.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","5541.0","","","","","","","","","","","",""
"34566.0","33.0","34559.0","5010.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","5436.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","4604.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","4826.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","4248.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","3751.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","3780.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","5749.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","4774.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","4871.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","4164.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","3588.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","4274.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","5308.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","4104.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","8526.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","7964.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","5764.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","7745.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","9915.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","24207.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","29418.0","","","","","","","","","","","",""
"34720.0","2.0","34713.0","14061.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","7451.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","6436.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","6166.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","9513.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","6628.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","5221.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","5366.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","5243.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","4383.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","4617.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","5982.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","4131.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","4513.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","5954.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","5349.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","6191.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","5653.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","5377.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","5094.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","7064.0","","","","","","","","","","","",""
"34867.0","23.0","34860.0","5795.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","6215.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","5276.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","9447.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","23484.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","21668.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","7904.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","5726.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","6908.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","6339.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","6786.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","5253.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","5838.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","7294.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","6587.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","4277.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","7279.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","8883.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","7183.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","7040.0","","","","","","","","","","","",""
"35007.0","43.0","35000.0","9612.0","","","","","","","","","","","",""
"35014.0","44.0","35007.0","6504.0","","","","","","","","","","","",""
"35021.0","45.0","35014.0","7685.0","","","","","","","","","","","",""
"35028.0","46.0","35021.0","5990.0","","","","","","","","","","","",""
"35035.0","47.0","35028.0","12900.0","","","","","","","","","","","",""
"35042.0","48.0","35035.0","9923.0","","","","","","","","","","","",""
"35049.0","49.0","35042.0","8960.0","","","","","","","","","","","",""
"35056.0","50.0","35049.0","9783.0","","","","","","","","","","","",""
"35063.0","51.0","35056.0","11195.0","","","","","","","","","","","",""
"35070.0","52.0","35063.0","30317.0","","","","","","","","","","","",""
"35077.0","1.0","35070.0","30533.0","","","","","","","","","","","",""
"35084.0","2.0","35077.0","17265.0","","","","","","","","","","","",""
"35091.0","3.0","35084.0","12103.0","","","","","","","","","","","",""
"35098.0","4.0","35091.0","7694.0","","","","","","","","","","","",""
"35105.0","5.0","35098.0","9202.0","","","","","","","","","","","",""
"35112.0","6.0","35105.0","15250.0","","","","","","","","","","","",""
"35119.0","7.0","35112.0","8287.0","","","","","","","","","","","",""
"35126.0","8.0","35119.0","7399.0","","","","","","","","","","","",""
"35133.0","9.0","35126.0","7782.0","","","","","","","","","","","",""
"35140.0","10.0","35133.0","7150.0","","","","","","","","","","","",""
"35147.0","11.0","35140.0","7296.0","","","","","","","","","","","",""
"35154.0","12.0","35147.0","9054.0","","","","","","","","","","","",""
"35161.0","13.0","35154.0","6182.0","","","","","","","","","","","",""
"35168.0","14.0","35161.0","8509.0","","","","","","","","","","","",""
"35175.0","15.0","35168.0","7364.0","","","","","","","","","","","",""
"35182.0","16.0","35175.0","6914.0","","","","","","","","","","","",""
"35189.0","17.0","35182.0","6395.0","","","","","","","","","","","",""
"35196.0","18.0","35189.0","6980.0","","","","","","","","","","","",""
"35203.0","19.0","35196.0","6285.0","","","","","","","","","","","",""
"35210.0","20.0","35203.0","5500.0","","","","","","","","","","","",""
"35217.0","21.0","35210.0","4525.0","","","","","","","","","","","",""
"35224.0","22.0","35217.0","8902.0","","","","","","","","","","","",""
"35231.0","23.0","35224.0","7016.0","","","","","","","","","","","",""
"35238.0","24.0","35231.0","5575.0","","","","","","","","","","","",""
"35245.0","25.0","35238.0","4765.0","","","","","","","","","","","",""
