"Report date","Week #","Week ","MA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"34279.0","44.0","34272.0","8579.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","7225.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","8009.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","7726.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","9332.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","9097.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","10805.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","11525.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","15418.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","13350.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","11015.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","9582.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","8652.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","9314.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","7089.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","7885.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","9698.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","7115.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","6986.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","7020.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","6053.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","5551.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","6989.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","6155.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","9079.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","5619.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","6436.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","6270.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","6267.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","6112.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","6159.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","6402.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","5797.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","7486.0","","","","","","","","","","","",""
