"Report date","Week #","Week ","NY","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33922.0","45.0","33915.0","21664.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","25424.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","21350.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","28073.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","25014.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","24001.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","24131.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","29178.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","35798.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","33400.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","23588.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","24295.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","23569.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","21431.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","17249.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","25083.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","23826.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","21589.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","18759.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","20404.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","18721.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","20310.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","22963.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","24635.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","19381.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","19476.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","18218.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","17472.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","18154.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","17547.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","19741.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","17453.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","17769.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","22606.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","20626.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","26158.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","21833.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","23646.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","19134.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","16781.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","16696.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","16789.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","16636.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","14903.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","18213.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","17399.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","17092.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","19204.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","16906.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","20902.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","20459.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","21913.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","20921.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","25067.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","20744.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","26438.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","26336.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","24356.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","24289.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","28723.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","32683.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","33577.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","22680.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","27398.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","25891.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","21862.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","21473.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","17816.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","24414.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","20994.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","19856.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","19301.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","19279.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","23254.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","22043.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","17944.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","18795.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","20581.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","18700.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","18225.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","21054.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","16954.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","18919.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","16994.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","18696.0","","","","","","","","","","","",""
"34517.0","26.0","34510.0","24511.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","26259.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","25414.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","19525.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","17335.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","18350.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","16703.0","","","","","","","","","","","",""
"34566.0","33.0","34559.0","17180.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","18075.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","17630.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","15849.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","20294.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","17765.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","17300.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","20367.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","16840.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","19493.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","19342.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","21082.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","25267.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","18168.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","19379.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","29826.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","25504.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","25558.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","25036.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","25609.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","39329.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","35745.0","","","","","","","","","","","",""
"34720.0","2.0","34713.0","24760.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","25837.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","23331.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","25838.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","23261.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","19013.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","25638.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","22154.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","20502.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","19285.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","19286.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","19972.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","20749.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","22377.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","24944.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","22611.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","20996.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","19591.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","19546.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","17478.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","21171.0","","","","","","","","","","","",""
"34867.0","23.0","34860.0","18727.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","19961.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","23930.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","29801.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","31255.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","22955.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","19197.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","18906.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","17851.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","17525.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","18653.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","17788.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","16636.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","20813.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","17902.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","18100.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","20077.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","18450.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","20263.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","19491.0","","","","","","","","","","","",""
"35007.0","43.0","35000.0","21178.0","","","","","","","","","","","",""
"35014.0","44.0","35007.0","23995.0","","","","","","","","","","","",""
"35021.0","45.0","35014.0","23443.0","","","","","","","","","","","",""
"35028.0","46.0","35021.0","23013.0","","","","","","","","","","","",""
"35035.0","47.0","35028.0","29496.0","","","","","","","","","","","",""
"35042.0","48.0","35035.0","24087.0","","","","","","","","","","","",""
"35049.0","49.0","35042.0","23482.0","","","","","","","","","","","",""
"35056.0","50.0","35049.0","26317.0","","","","","","","","","","","",""
"35063.0","51.0","35056.0","28370.0","","","","","","","","","","","",""
"35070.0","52.0","35063.0","37439.0","","","","","","","","","","","",""
"35077.0","1.0","35070.0","31799.0","","","","","","","","","","","",""
"35084.0","2.0","35077.0","26585.0","","","","","","","","","","","",""
"35091.0","3.0","35084.0","30289.0","","","","","","","","","","","",""
"35098.0","4.0","35091.0","24479.0","","","","","","","","","","","",""
"35105.0","5.0","35098.0","24781.0","","","","","","","","","","","",""
"35112.0","6.0","35105.0","22397.0","","","","","","","","","","","",""
"35119.0","7.0","35112.0","19069.0","","","","","","","","","","","",""
"35126.0","8.0","35119.0","26102.0","","","","","","","","","","","",""
"35133.0","9.0","35126.0","21800.0","","","","","","","","","","","",""
"35140.0","10.0","35133.0","22681.0","","","","","","","","","","","",""
"35147.0","11.0","35140.0","25573.0","","","","","","","","","","","",""
"35154.0","12.0","35147.0","21338.0","","","","","","","","","","","",""
"35161.0","13.0","35154.0","20431.0","","","","","","","","","","","",""
"35168.0","14.0","35161.0","22815.0","","","","","","","","","","","",""
"35175.0","15.0","35168.0","25298.0","","","","","","","","","","","",""
"35182.0","16.0","35175.0","19774.0","","","","","","","","","","","",""
"35189.0","17.0","35182.0","19395.0","","","","","","","","","","","",""
"35196.0","18.0","35189.0","18787.0","","","","","","","","","","","",""
"35203.0","19.0","35196.0","16963.0","","","","","","","","","","","",""
"35210.0","20.0","35203.0","17587.0","","","","","","","","","","","",""
"35217.0","21.0","35210.0","15182.0","","","","","","","","","","","",""
"35224.0","22.0","35217.0","19272.0","","","","","","","","","","","",""
"35231.0","23.0","35224.0","17192.0","","","","","","","","","","","",""
"35238.0","24.0","35231.0","17399.0","","","","","","","","","","","",""
"35245.0","25.0","35238.0","21621.0","","","","","","","","","","","",""
"35252.0","26.0","35245.0","27247.0","","","","","","","","","","","",""
"35259.0","27.0","35252.0","28373.0","","","","","","","","","","","",""
